class_id,name,grade,section,capacity
CLASS_001,Grade 6A,6,A,35
CLASS_002,Grade 6B,6,B,26
CLASS_003,Grade 6C,6,C,25
CLASS_004,Grade 6D,6,D,29
CLASS_005,Grade 6E,6,E,28
CLASS_006,Grade 6F,6,F,28
CLASS_007,Grade 6G,6,G,27
CLASS_008,Grade 6H,6,H,26
CLASS_009,Grade 7A,7,A,35
CLASS_010,Grade 7B,7,B,33
CLASS_011,Grade 7C,7,C,26
CLASS_012,Grade 7D,7,D,34
CLASS_013,Grade 7E,7,E,31
CLASS_014,Grade 7F,7,F,25
CLASS_015,Grade 7G,7,G,25
CLASS_016,Grade 8A,8,A,26
CLASS_017,Grade 8B,8,B,28
CLASS_018,Grade 8C,8,C,28
CLASS_019,Grade 8D,8,D,33
CLASS_020,Grade 8E,8,E,34
CLASS_021,Grade 8F,8,F,25
CLASS_022,Grade 8G,8,G,33
CLASS_023,Grade 9A,9,A,28
CLASS_024,Grade 9B,9,B,35
CLASS_025,Grade 9C,9,C,33
CLASS_026,Grade 9D,9,D,31
CLASS_027,Grade 9E,9,E,28
CLASS_028,Grade 9F,9,F,32
CLASS_029,Grade 9G,9,G,34
CLASS_030,Grade 10A,10,A,29
CLASS_031,Grade 10B,10,B,25
CLASS_032,Grade 10C,10,C,27
CLASS_033,Grade 10D,10,D,31
CLASS_034,Grade 10E,10,E,30
CLASS_035,Grade 10F,10,F,29
CLASS_036,Grade 10G,10,G,27
CLASS_037,Grade 11A,11,A,28
CLASS_038,Grade 11B,11,B,30
CLASS_039,Grade 11C,11,C,26
CLASS_040,Grade 11D,11,D,26
CLASS_041,Grade 11E,11,E,31
CLASS_042,Grade 11F,11,F,26
CLASS_043,Grade 11G,11,G,30
CLASS_044,Grade 12A,12,A,30
CLASS_045,Grade 12B,12,B,34
CLASS_046,Grade 12C,12,C,29
CLASS_047,Grade 12D,12,D,25
CLASS_048,Grade 12E,12,E,32
CLASS_049,Grade 12F,12,F,33
CLASS_050,Grade 12G,12,G,26
