room_id,name,type,capacity,has_projector,specialization
ROOM_001,Classroom 1,classroom,30,True,
ROOM_002,Classroom 2,classroom,33,True,
ROOM_003,Classroom 3,classroom,38,True,
ROOM_004,Classroom 4,classroom,38,True,
ROOM_005,Classroom 5,classroom,40,False,
ROOM_006,Classroom 6,classroom,33,False,
ROOM_007,Classroom 7,classroom,39,False,
ROOM_008,Classroom 8,classroom,30,True,
ROOM_009,Classroom 9,classroom,36,False,
ROOM_010,Classroom 10,classroom,34,True,
ROOM_011,Classroom 11,classroom,33,False,
ROOM_012,Classroom 12,classroom,31,True,
ROOM_013,Classroom 13,classroom,36,True,
ROOM_014,Classroom 14,classroom,35,False,
ROOM_015,Classroom 15,classroom,39,False,
LAB_001,Science Lab 1,lab,21,True,science_lab
LAB_002,Computer Lab 2,lab,34,True,computer_lab
LAB_003,Physics Lab 3,lab,23,True,physics_lab
LAB_004,Chemistry Lab 4,lab,32,True,chemistry_lab
LAB_005,Biology Lab 5,lab,22,True,biology_lab
