room_id,name,type,capacity,has_projector,specialization
R001,Classroom 1,classroom,30,false,
R002,Classroom 2,classroom,37,true,
R003,Classroom 3,classroom,35,false,
R004,Classroom 4,classroom,36,false,
R005,Classroom 5,classroom,38,true,
R006,Classroom 6,classroom,37,true,
R007,Classroom 7,classroom,34,false,
R008,Classroom 8,classroom,37,true,
R009,Classroom 9,classroom,36,false,
R010,Classroom 10,classroom,40,false,
R011,Classroom 11,classroom,32,false,
R012,Classroom 12,classroom,32,true,
R013,Classroom 13,classroom,36,true,
R014,Classroom 14,classroom,31,false,
R015,Classroom 15,classroom,32,false,
R016,Classroom 16,classroom,32,true,
R017,Classroom 17,classroom,34,false,
R018,Classroom 18,classroom,35,true,
R019,Classroom 19,classroom,37,false,
R020,Classroom 20,classroom,35,false,
R021,Classroom 21,classroom,34,false,
R022,Classroom 22,classroom,34,true,
R023,Classroom 23,classroom,37,true,
R024,Classroom 24,classroom,38,true,
R025,Classroom 25,classroom,35,true,
R026,Classroom 26,classroom,40,true,
R027,Classroom 27,classroom,40,true,
R028,Classroom 28,classroom,30,true,
R029,Classroom 29,classroom,33,true,
R030,Classroom 30,classroom,39,true,
L001,Science Lab,lab,27,true,science
L002,Computer Lab,lab,24,true,computer
L003,Physics Lab,lab,35,true,physics
L004,Chemistry Lab,lab,23,true,chemistry
L005,Biology Lab,lab,26,true,biology
L006,Language Lab,lab,34,true,language
L007,Art Studio,lab,28,true,art
L008,Music Room,lab,31,true,music
L009,Sports Hall,lab,25,true,sports
